Województwo;Liczba Zdarzen;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
Ogó³em;440286;33664;3026;40766;406622
WOJ. DOLNOŒL¥SKIE;41471;2324;226;2907;39147
WOJ. KUJAWSKO-POMORSKIE;26829;1018;178;1101;25811
WOJ. LUBELSKIE;19904;1262;178;1484;18642
WOJ. LUBUSKIE;12483;684;113;878;11799
WOJ. £ÓDZKIE;30492;4222;214;5298;26270
WOJ. MA£OPOLSKIE;33523;3939;185;4764;29584
WOJ. MAZOWIECKIE;67345;4078;508;4878;63267
WOJ. OPOLSKIE;9841;754;99;859;9087
WOJ. PODKARPACKIE;19160;1682;141;2019;17478
WOJ. PODLASKIE;12932;686;120;834;12246
WOJ. POMORSKIE;26604;2725;144;3357;23879
WOJ. ŒL¥SKIE;53195;3650;257;4347;49545
WOJ. ŒWIÊTOKRZYSKIE;13076;1365;107;1724;11711
WOJ. WARMIÑSKO-MAZURSKIE;17305;1627;158;2025;15678
WOJ. WIELKOPOLSKIE;36864;2316;249;2683;34548
WOJ. ZACHODNIOPOMORSKIE;19262;1332;149;1608;17930
