Województwo;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
DOLNOŚLĄSKIE;2183;219;2749;41467
KUJAWSKO-POMORSKIE;949;151;1080;27461
LUBELSKIE;1242;157;1432;19895
LUBUSKIE;682;84;855;12714
ŁÓDZKIE;3787;219;4750;28082
MAŁOPOLSKIE;3612;194;4310;31382
MAZOWIECKIE;4048;464;4754;68446
OPOLSKIE;700;78;849;10210
PODKARPACKIE;1710;124;2033;18409
PODLASKIE;693;114;802;13260
POMORSKIE;2608;134;3253;25647
ŚLĄSKIE;3502;246;4307;54121
ŚWIĘTOKRZYSKIE;1235;115;1529;12785
WARMIŃSKO-MAZURSKIE;1455;118;1734;17150
WIELKOPOLSKIE;3122;294;3594;36004
ZACHODNIOPOMORSKIE;1232;120;1435;19436
Podsumowanie;32760;2831;39466;436469
