Informacja dodatkowa;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
Chodnik, droga dla pieszych;589;22;628;4116
Droga, pas ruchu, œluza dla rowerów;338;2;359;809
Jezdnia;24198;2198;30306;371547
Most, wiadukt, ³¹cznica, tunel;100;7;130;1954
Parking, plac, MOP;257;7;270;30979
Pas dziel¹cy jezdnie;34;4;33;802
Pobocze;967;150;1155;8725
Przejazd dla rowerzystów;465;6;462;871
Przejazd kolejowy niestrze¿ony;43;19;49;324
Przejazd kolejowy strze¿ony;14;6;26;1047
Przejazd tramwajowy, torowisko tramwajowe;170;11;220;695
Przejœcie dla pieszych;4322;267;4309;4124
Przewi¹zka na drodze dwujezdniowej;20;1;20;138
Przystanek komunikacji publicznej;170;8;177;499
Roboty drogowe, oznakowanie tymczasowe;95;11;129;1660
Skarpa, rów;695;100;865;4525
Wjazd, wyjazd z posesji, pola;283;12;328;3650
Podsumowanie ca³kowite;32760;2831;39466;436465
