Statystyka ogólna w podziale na godziny;;;;
;;;;
;;;;
;2018;;;
Godzina zdarzenia;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
 00 - 00.59;302;52;372;3873
 01 - 01.59;244;39;316;2832
 02 - 02.59;205;49;266;2243
 03 - 03.59;180;49;234;2126
 04 - 04.59;253;63;303;2463
 05 - 05.59;660;100;754;5666
 06 - 06.59;1111;116;1270;11484
 07 - 07.59;1512;115;1804;20064
 08 - 08.59;1495;83;1764;23151
 09 - 09.59;1457;98;1687;23637
 10 - 10.59;1667;128;1936;26983
 11 - 11.59;1790;113;2085;28703
 12 - 12.59;1855;122;2213;29849
 13 - 13.59;2005;149;2339;30146
 14 - 14.59;2233;151;2674;34348
 15 - 15.59;2428;163;2950;36031
 16 - 16.59;2550;200;3066;35923
 17 - 17.59;2546;230;2958;30793
 18 - 18.59;2173;173;2544;25286
 19 - 19.59;1752;199;1988;19482
 20 - 20.59;1196;139;1381;14904
 21 - 21.59;912;149;1033;11634
 22 - 22.59;717;108;894;9090
 23 - 23.59;431;74;528;5703
Podsumowanie;31674;2862;37359;436414
