Przyczyny - pozosta³e;;;;
;;;;
;;;;
;2018;;;
Inne przyczyny;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
Dzia³anie sygnalizacji œwietlnej;0;0;0;5
Inne;142;7;156;3982
Nieprawid³owo dzia³aj¹ca zapora kolej.;0;0;0;7
Niesprawnoœæ techniczna pojazdu;38;7;55;624
Nieustalone;807;247;836;9531
Obiekty, zwierzêta na drodze;332;20;403;25895
Organizacja ruchu;1;0;2;26
Oœlepienie przez inny pojazd lub s³oñce;24;3;25;174
Po¿ar pojazdu;2;1;1;218
Stan jezdni;77;1;86;8555
Utrata przytomnoœci, œmieræ kieruj¹cego;76;7;101;354
Z winy pasa¿era;116;5;118;398
Zabezpieczenie robót na drodze;4;0;4;453
Podsumowanie;1619;298;1787;50222
