Statystyka ogólna w podziale na miesi¹ce;;;;
;;;;
;;;;
;2018;;;
Miesi¹c;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
Styczeñ    ;2099;209;2445;35109
Luty       ;1784;152;2108;31525
Marzec     ;1989;166;2391;36503
Kwiecieñ   ;2637;202;3109;35089
Maj        ;3060;232;3652;37071
Czerwiec   ;2979;234;3563;35191
Lipiec     ;3029;267;3648;36475
Sierpieñ   ;2951;281;3550;36036
Wrzesieñ   ;3005;270;3525;36828
PaŸdziernik;3150;318;3592;42729
Listopad   ;2292;256;2592;33640
Grudzieñ   ;2699;275;3184;40218
Podsumowanie;31674;2862;37359;436414
