Przyczyny - Zachowanie pieszego ;;;;
;;;;
;;;;
;2018;;;
Zachowanie pieszego;Liczba Wypadkow;Liczba Zabitych;Liczba Rannych;Liczba Kolizji
Chodzenie nieprawid³ow¹ stron¹ drogi;103;23;80;84
Inne przyczyny;140;21;120;341
Le¿enie, siedzenie, klêczenie, stanie na jezdni;129;70;59;43
Nieostro¿ne wejœcie na jezdniê: przed jad¹cym pojazdem;1031;148;906;1300
Nieostro¿ne wejœcie na jezdniê: zza pojazdu, przeszkody;241;14;232;276
Przekraczanie jezdni w miejscu niedozwolonym;262;53;212;261
Wejœcie na jezdniê przy czerwonym œwietle;202;18;195;242
Zatrzymanie, cofniêcie siê;11;1;10;10
Podsumowanie;2119;348;1814;2557
